Symbol,Close,ml_prediction,ml_confidence,Risk_Score,Risk_Category,Action_Item,Quantitative_Justification
UPL,466.35,0,0.49607748260280976,51.8,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 51.8. Pruning portfolio exposure is recommended.
HDFC,2558.65,0,0.4437537973982891,58.2,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 58.2. Pruning portfolio exposure is recommended.
HINDALCO,240.55,1,0.5034639408797839,59.3,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 50.3%). Asset displays a healthy historical Sharpe Ratio of -0.07 within safe risk boundaries.
HDFCBANK,1436.3,0,0.47345130600434493,59.3,Medium Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 59.3. Pruning portfolio exposure is recommended.
INDUSINDBK,894.95,1,0.5232304005029227,59.6,Medium Risk,BUY,Strong near-term upward momentum detected (ML Confidence: 52.3%). Asset displays a healthy historical Sharpe Ratio of 0.27 within safe risk boundaries.
M&M,720.6,0,0.4822424251170163,61.1,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 61.1. Pruning portfolio exposure is recommended.
BRITANNIA,3576.35,1,0.6251567646777814,61.4,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 62.5%), but historical Volatility index is high (Risk Score: 61.4). Deferring aggressive allocation to prevent downstream drawdown risks."
GAIL,123.25,1,0.5408175561627935,65.7,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 54.1%), but historical Volatility index is high (Risk Score: 65.7). Deferring aggressive allocation to prevent downstream drawdown risks."
TECHM,973.2,1,0.5234481564564368,66.1,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 52.3%), but historical Volatility index is high (Risk Score: 66.1). Deferring aggressive allocation to prevent downstream drawdown risks."
BPCL,381.1,1,0.5165865311313527,67.5,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 51.7%), but historical Volatility index is high (Risk Score: 67.5). Deferring aggressive allocation to prevent downstream drawdown risks."
ASIANPAINT,2764.5,0,0.49396642955866765,67.5,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 67.5. Pruning portfolio exposure is recommended.
ZEEL,223.5,1,0.5199347244433752,68.6,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 52.0%), but historical Volatility index is high (Risk Score: 68.6). Deferring aggressive allocation to prevent downstream drawdown risks."
SESAGOA,188.15,0,0.4566149991985423,69.6,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 69.6. Pruning portfolio exposure is recommended.
VEDL,161.4,0,0.491642704993867,73.2,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 73.2. Pruning portfolio exposure is recommended.
INFY,1255.8,0,0.4647636447090987,75.7,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 75.7. Pruning portfolio exposure is recommended.
IOC,90.95,0,0.48938497589371976,76.1,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 76.1. Pruning portfolio exposure is recommended.
BAJFINANCE,5295.2,1,0.501422286196673,76.1,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 50.1%), but historical Volatility index is high (Risk Score: 76.1). Deferring aggressive allocation to prevent downstream drawdown risks."
AXISBANK,620.45,0,0.44206166387551554,76.4,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 76.4. Pruning portfolio exposure is recommended.
EICHERMOT,2530.9,1,0.5347328375345096,76.4,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 53.5%), but historical Volatility index is high (Risk Score: 76.4). Deferring aggressive allocation to prevent downstream drawdown risks."
GRASIM,927.85,1,0.5300513674211625,76.4,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 53.0%), but historical Volatility index is high (Risk Score: 76.4). Deferring aggressive allocation to prevent downstream drawdown risks."
SUNPHARMA,592.35,0,0.4681604370881411,76.4,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 76.4. Pruning portfolio exposure is recommended.
ICICIBANK,535.05,0,0.4242194854907765,79.6,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 79.6. Pruning portfolio exposure is recommended.
TITAN,1567.15,0,0.4917904959574343,87.9,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 87.9. Pruning portfolio exposure is recommended.
JSWSTEEL,387.2,0,0.4734133072984813,88.6,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 88.6. Pruning portfolio exposure is recommended.
ONGC,93.05,0,0.385072007760462,88.6,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 88.6. Pruning portfolio exposure is recommended.
MUNDRAPORT,135.5,0,0.46784935609646083,90.0,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 90.0. Pruning portfolio exposure is recommended.
SBIN,274.95,0,0.4252665477148867,93.2,High Risk,SELL,Negative trend indicators or flat structural performance expected over the next 5-day horizon. Risk Score stands at 93.2. Pruning portfolio exposure is recommended.
TATAMOTORS,183.85,1,0.5098469804402442,93.9,High Risk,HOLD,"Upward trend spotted by ML model (Confidence: 51.0%), but historical Volatility index is high (Risk Score: 93.9). Deferring aggressive allocation to prevent downstream drawdown risks."
